State,Cities,Heating Degree Days (HDD),Cooling Degree Days (CDD)
Florida,Fort Lauderdale,322,4114
Florida,Fort Myers,205,4113
Florida,Fort Pierce,722,2959
Florida,Gainesville,1306,2659
Florida,Homestead,318,4117
Florida,Jacksonville FL,1281,2565
Florida,Key West,67,4906
Florida,Lakeland,973,3374
Florida,Marathon,124,5280
Florida,Mayport,1037,2806
Florida,Melbourne,369,3269
Florida,Miami,150,4292
Florida,Milton,1728,2305
Florida,Naples,289,3443
Florida,Ocala,1144,2724
Florida,Orlando,526,3234
Florida,Panama City,1269,2877
Florida,Pensacola,1174,2711
Florida,Sarasota,604,3266
Florida,St. Petersburg,429,3824
Florida,Tallahasse,1545,2370
Florida,Tampa,646,3442
Florida,Valparaiso,2072,2339
Florida,Vero Beach,299,3489
Florida,West Palm Beach,316,3787
Georgia,Albany GA,1739,2456
Georgia,Alma,2097,2316
Georgia,Athens,2730,1702
Georgia,Atlanta,2773,1809
Georgia,Augusta GA,2512,2023
Georgia,Brunswick GA,2102,2568
Georgia,Columbus GA,2063,2407
Georgia,Macon,2400,2182
Georgia,Marietta,3734,1401
Georgia,Rome,3331,1895
Georgia,Savannah,1759,2474
Georgia,Valdosta,1525,2860
Georgia,Warner Robins,2983,2069
Hawaii,Hilo,0,3279
Hawaii,Honolulu,0,4561
Hawaii,Kahului,0,3999
Hawaii,Kalaoa,0,4325
Hawaii,Kaneohe,0,4485
Hawaii,Kapalua,0,3908
Hawaii,Kapolei,12,4410
Hawaii,Lanai,22,2590
Hawaii,Lihue,0,3919
Hawaii,Molokai,97,3734
Idaho,Boise,5395,756
Idaho,Burley,6225,927
Idaho,Caldwell,5803,636
Idaho,Coeur d'Alene,6897,344
Idaho,Grand View,6105,834
Idaho,Hailey,7160,679
Idaho,Idaho Falls,7769,246
Idaho,Lewiston,5457,885
Idaho,Malad City,6681,546
Idaho,Pocatello,7100,393
Idaho,Salmon,7482,309
Idaho,Soda Springs,8439,198
Idaho,Twin Falls,6148,733
Illinois,Aurora IL,6790,683
Illinois,Belleville,5320,1245
Illinois,Bloomington IL,6112,847
Illinois,Bondville,5747,1021
Illinois,Chicago,6399,830
Illinois,Decatur,5546,1166
Illinois,Marion IL,4674,1330
Illinois,Moline,6459,980
Illinois,Mount Vernon,4817,1412
Illinois,Murphysboro,4380,1633
Illinois,Peoria,6229,888
Illinois,Quincy,5233,1067
Illinois,Rock Falls,6269,785
Illinois,Rockford,7237,778
Illinois,Springfield IL,5527,1166
Illinois,West Chicago,6194,830
Indiana,Bloomington IN,5385,1025
Indiana,Evansville,4474,1376
Indiana,Fort Wayne,6471,764
Indiana,Huntingburg,4223,1448
Indiana,Indianapolis,5845,1044
Indiana,Kokomo,5957,822
Indiana,Lafayette IN,5967,971
Indiana,Muncie,5626,1004
Indiana,South Bend,5956,860
Indiana,Terre Haute,5135,1290
Iowa,Algona,6847,707
Iowa,Atlantic,6656,865
Iowa,Boone,6699,897
Iowa,Burlington IA,5680,1465
Iowa,Carroll,6880,899
Iowa,Cedar Rapids,6900,714
Iowa,Chariton,6028,1252
Iowa,Charles City,6765,733
Iowa,Clarinda,6072,1319
Iowa,Clinton IA,6895,1019
Iowa,Council Bluffs,5864,969
Iowa,Creston,6150,983
Iowa,Decorah,6125,978
Iowa,Denison,6571,1057
Iowa,Des Moines,6493,1121
Iowa,Dubuque,7516,525
Iowa,Estherville,8458,551
Iowa,Fairfield IA,6031,1093
Iowa,Fort Dodge,7177,825
Iowa,Fort Madison,5277,1148
Iowa,Keokuk,5496,1208
Iowa,Knoxville IA,5891,1265
Iowa,Le Mars,6122,871
Iowa,Mason City,7927,639
Iowa,Monticello IA,6857,744
Iowa,Muscatine,6206,1026
Iowa,Newton IA,6207,816
Iowa,Oelwen,6483,644
Iowa,Orange City,6867,865
Iowa,Ottumwa,6647,875
Iowa,Red Oak,5959,1203
Iowa,Sheldon,6939,723
Iowa,Shenandoah,6233,1258
Iowa,Sioux City,6796,936
Iowa,Spencer,8206,592
Iowa,Storm Lake,6982,821
Iowa,Washington IA,6249,991
Iowa,Waterloo,7257,827
Iowa,Webster City,6376,1099
Kansas,Chanute,4458,1804
Kansas,Concordia,4890,1632
Kansas,Dodge City,4969,1457
Kansas,Emporia,5717,1458
Kansas,Garden City,5180,1240
Kansas,Goodland,5915,915
Kansas,Great Bend,4891.5,1417
Kansas,Hays,5021,1558
Kansas,Hill City,5597,1192
Kansas,Hutchinson KS,4591,1552
Kansas,Junction City,4528,1600
Kansas,Liberal,4810,1410
Kansas,Manhattan,5013,1652
Kansas,Newton KS,5023,1400
Kansas,Olathe,4598,1437
Kansas,Russell,5005,1436
Kansas,Salina,4660,1787
Kansas,Topeka,4953,1315
Kansas,Wichita,4324,1554
Kentucky,Bowling Green,4380,1410
Kentucky,Fort Knox,4918,1283
Kentucky,Hebron,5288,962
Kentucky,Henderson City,5049,995
Kentucky,Hopkinsville,4484,1620
Kentucky,Jackson KY,3869,1098
Kentucky,Lexington,4856,1104
Kentucky,London,4529,988
Kentucky,Louisville,4521,1449
Kentucky,Somerset,3916,1550
Kentucky,West Paducah,3811,1439
Louisiana,Alexandria LA,1136,2477
Louisiana,Baton Rouge,1762,2622
Louisiana,Bossier City,2562,2270
Louisiana,Houma,1677,2848
Louisiana,Lafayette LA,1590,2699
Louisiana,Lake Charles,1635,2596
Louisiana,Leesville,2197,2514
Louisiana,Monroe,2229,2270
Louisiana,New Iberia,1717,2559
Louisiana,New Orleans,1358,2784
Louisiana,Patterson,1452,2571
Louisiana,Pineville,2109,2421
Louisiana,Shreveport,2351,2384
Maine,Auburn ME,7691,303
Maine,Augusta ME,7495,396
Maine,Bangor,7671,450
Maine,Bar Harbor,8037,71
Maine,Brunswick ME,7456,373
Maine,Caribou,9841,171
Maine,Frenchville,9765,164
Maine,Houlton,9255,206
Maine,Millinocket,7921,323
Maine,Portland ME,7679,335
Maine,Presque Isle,9295,168
Maine,Rockland,7451,194
Maine,Sanford,7774,259
Maine,Waterville,7926,367
Maine,Wiscasset,6877,350
Maryland,Baltimore,4631,1237
Maryland,Camp Springs,4652,1178
Maryland,Hagerstown,4867,1079
Maryland,Lexington Park,3556,1404
Maryland,Salisbury,3910,1229
Massachusetts,Beverly,6669,492
Massachusetts,Boston,5793,734
Massachusetts,Chicopee Falls,6354,507
Massachusetts,Hyannis,5749,436
Massachusetts,Lawrence,5940,559
Massachusetts,Marthas Vineyard,5622,361
Massachusetts,Mashpee,6062,565
Massachusetts,Nantucket,5350,298
Massachusetts,New Bedford,5724,577
Massachusetts,North Adams,6626,319
Massachusetts,Norwood,6177,637
Massachusetts,Plymouth,5889,374
Massachusetts,Provincetown,5705,595
Massachusetts,Westfield,6623,494
Massachusetts,Worchester,7164,346
Michigan,Alpena,8250,290
Michigan,Ann Arbor,6487,492
Michigan,Battle Creek,6210,639
Michigan,Benton Harbor,6588,810
Michigan,Cadillac,7905,373
Michigan,Calumet,8988,239
Michigan,Detroit,6621,679
Michigan,Escanaba,8796,131
Michigan,Flint,6977,515
Michigan,Freeland,7059,524
Michigan,Grand Rapids MI,6908,579
Michigan,Houghton Lake,8067,316
Michigan,Howell,6295,899
Michigan,Ironwood,9090,348
Michigan,Jackson MI,6385,715
Michigan,Kalamazoo,6196,599
Michigan,Kincheloe,9193,115
Michigan,Kingsford,8327,432
Michigan,Lansing,7045,597
Michigan,Manistee,7343,582
Michigan,Marie,9162,113
Michigan,Menominee,7783,452
Michigan,Mount Clemens,6040,597
Michigan,Muskegon,7018,502
Michigan,Oscoda,7315,455
Michigan,Pellston,7426,360
Michigan,Port Huron,6522,705
Michigan,Traverse City,7754,370
Michigan,Waterford Township,6152,772
Minnesota,Aitkin,9304,194
Minnesota,Albert Lea,7196,920
Minnesota,Alexandria MN,8895,535
Minnesota,Austin MN,7892,529
Minnesota,Baudette ,8804,112
Minnesota,Bemidji,9161,333
Minnesota,Benson,8676,659
Minnesota,Brainerd,8713,322
Minnesota,Cambridge,8823,405
Minnesota,Cloquet,9368,258
Minnesota,Crane Lake,10240,164
Minnesota,Crookston,9095,348
Minnesota,Detroit Lakes,8704,460
Minnesota,Duluth,9620,159
Minnesota,Ely,9501,186
Minnesota,Eveleth,9987,255
Minnesota,Fairmont,7586,652
Minnesota,Faribault,7497,504
Minnesota,Fergus Falls,7838,841
Minnesota,Flying Cloud,7921,958
Minnesota,Fosston,9746,252
Minnesota,Glenwood,8440,528
Minnesota,Grand Rapids MN,9137,306
Minnesota,Hallock,9445,460
Minnesota,Hibbing,9987,219
Minnesota,Hutchinson MN,8330,620
Minnesota,International Falls,10382,259
Minnesota,Litchfield,7734,543
Minnesota,Little Falls,9240,385
Minnesota,Mankato,7716,645
Minnesota,Marshall,7740,688
Minnesota,Minneapolis,7783,731
Minnesota,Mora,8665,364
Minnesota,Morris,8849,375
Minnesota,New Ulm,7646,641
Minnesota,Orr,10534,152
Minnesota,Owatonna,7788,641
Minnesota,Park Rapids,9215,236
Minnesota,Pipestone,8624,649
Minnesota,Red Wing,7935,761
Minnesota,Redwood Falls,7938,609
Minnesota,Rochester,8386,488
Minnesota,Roseau,9817,162
Minnesota,Silver Bay,10453,59
Minnesota,St Cloud,9020,444
Minnesota,St Paul,8019,587
Minnesota,Thief River Falls,9328,341
Minnesota,Two Harbors,9412,190
Minnesota,Wheaton,8713,496
Minnesota,Willmar,7649,581
Minnesota,Winona,7711,633
Minnesota,Worthington,7750,644
Mississippi,Biloxi,1928,2606
Mississippi,Columbus MS,3394,2077
Mississippi,Greenville MS,2432,2468
Mississippi,Greenwood,2552,2164
Mississippi,Gulfport,1619,2565
Mississippi,Hattiesburg,2274,2071
Mississippi,Jackson MS,2428,2237
Mississippi,McComb,2086,2315
Mississippi,Meridian,2417,2038
Mississippi,Natchez,1915,2060
Mississippi,Starkville,3378,1962
Mississippi,Tupelo,3039,1905
Missouri,Cape Girardeau,4506,1289
Missouri,Columbia MO,5307,1190
Missouri,Farmington MO,4527,1190
Missouri,Ft. Leonard Wood ,4675,1496
Missouri,Jefferson City,4504,1469
Missouri,Joplin,3663,1949
Missouri,Kaiser,4634,1528
Missouri,Kansas City,5434,1316
Missouri,Kirksville,6397,1047
Missouri,Poplar Bluff,4108,1592
Missouri,Springfield MO,4629,1307
Missouri,St. Joseph,5495,1379
Missouri,St. Louis,4846,1555
Missouri,Vichy,4729,924
Missouri,Warrensburg,4803,1344
Montana,Billings,6731,548
Montana,Bozeman,8354,282
Montana,Butte,9089,101
Montana,Cut Bank,8186,86
Montana,Glasgow,8163,504
Montana,Glendive,8667,555
Montana,Great Falls,7854,344
Montana,Havre,8213,432
Montana,Helena,7587,320
Montana,Kalispell,7928,126
Montana,Lewistown,8014,107
Montana,Livingston,7111,370
Montana,Miles City,7617,648
Montana,Missoula,7323,269
Montana,Sidney MT,9396,411
Montana,Wolf Point,8983,249
Nebraska,Ainsworth,6118,789
Nebraska,Alliance,7026,736
Nebraska,Beatrice,5646,1135
Nebraska,Bellevue,6309,1139
Nebraska,Broken Bow,6772,790
Nebraska,Chadron,6543,812
Nebraska,Columbus NC,6670,937
Nebraska,Falls City,5775,1039
Nebraska,Fremont,6953,935
Nebraska,Grand Island,6654,1041
Nebraska,Hastings,6075,1108
Nebraska,Holdrege,6510,852
Nebraska,Imperial NE,5834,1024
Nebraska,Kearney,6348,843
Nebraska,Lincoln,5892,1220
Nebraska,McCook,5616,1256
Nebraska,Norfolk NE,6943,986
Nebraska,North Platte,6556,802
Nebraska,Omaha,5954,1275
Nebraska,O'Neill,7733,847
Nebraska,Ord,6279,872
Nebraska,Scottsbluff,6560,760
Nebraska,Sidney NE,6864,494
Nebraska,Tekamah,6650,1005
Nebraska,Valentine,6453,811
Nevada,Elko,7070,407
Nevada,Ely,7267,154
Nevada,Fallon,5163,1010
Nevada,Las Vegas NV,2301,3187
Nevada,Lovelock,5351,836
Nevada,Mercury,3001,2396
Nevada,Reno,5488,620
Nevada,Tonopah,5431,747
Nevada,Winnemucca,6158,567
New Hampshire,Berlin,8891,145
New Hampshire,Concord NH,7479,397
New Hampshire,Keene,7169,470
New Hampshire,Laconia,7198,396
New Hampshire,Lebanon,7349,389
New Hampshire,Manchester,6322,664
New Hampshire,Mount Washington,13275,0
New Hampshire,Portsmouth,6753,527
New Jersey,Atlantic City,5073,886
New Jersey,Belmar,5280,890
New Jersey,Fairfield NJ,5060,654
New Jersey,Millville,4680,1011
New Jersey,Newark,5057,1237
New Jersey,Rio Grande,4286,1028
New Jersey,Teterboro,4868,695
New Jersey,Trenton,5040,1177
New Mexico,Alamogordo,3327,1793
New Mexico,Albuquerque,4157,1269
New Mexico,Carlsbad NM,2764,2298
New Mexico,Clayton,4765,1156
New Mexico,Clovis,4467,1396
New Mexico,Deming,2878,1891
New Mexico,Farmington NM,5199,1022
New Mexico,Gallup,6002,388
New Mexico,Las Cruces,2876,2146
New Mexico,Las Vegas NM,5180,307
New Mexico,Roswell,2735,1932
New Mexico,Ruidoso,4095,604
New Mexico,Santa Fe,5449,589
New Mexico,Taos,6904,198
New Mexico,Truth or Consequences,3102,1742
New Mexico,Tucumcari,4109,1423
New York,Albany NY,6773,489
New York,Binghamton,7015,404
New York,Buffalo,6612,468
New York,Elmira,6449,297
New York,Glen Falls,7158,481
New York,Jamestown NY,7188,278
New York,Massena,8046,376
New York,Monticello NY,7059,428
New York,New Windsor,6159,756
New York,New York,4885,1133
New York,Nigara Falls,6484,602
New York,Republic,4893,983
New York,Rockester,6518,627
New York,Ronkonkoma,5005,983
New York,Saranac Lake,9158,149
New York,Syracuse,6609,535
New York,Utica,6974,414
New York,Wappingers Falls,6030,607
New York,Watertown NY,7496,330
New York,Westhampton Beach,5741,455
New York,White Plains,5783,595
North Carolina,Asheville,4273,817
North Carolina,Cape Hatteras,2563,1729
North Carolina,Charlotte,3153,1675
North Carolina,Elizabeth City,2744,1760
North Carolina,Fayetteville NC,3489,1576
North Carolina,Goldsboro,3589,1743
North Carolina,Greensboro,3868,1371
North Carolina,Greenville NC,3040,1603
North Carolina,Havelock,3345,1701
North Carolina,Hickory,3457,1416
North Carolina,Jacksonville NC,3814,1370
North Carolina,Kinston,3397,1818
North Carolina,Manteo,3053,1617
North Carolina,New Bern,2276,1874
North Carolina,Raleigh,3465,1566
North Carolina,Rocky Mount,2878,1435
North Carolina,Southern Pines,3570,1496
North Carolina,Wilmington NC,2401,1928
North Carolina,Winston-Salem,3214,1244
North Dakota,Bismarck,8452,453
North Dakota,Devils Lake,9251,288
North Dakota,Dickinson,9028,417
North Dakota,Fargo,9211,491
North Dakota,Grand Forks,9534,486
North Dakota,Jamestown ND,9505,519
North Dakota,Minot,8972,432
North Dakota,Williston,8467,404
Ohio,Akron OH,259,654
Ohio,Cincinnati,4911,1039
Ohio,Cleveland,6160,760
Ohio,Columbus OH,5599,747
Ohio,Dayton,5945,905
Ohio,Findlay,5590,541
Ohio,Mansfield,6615,620
Ohio,Toledo OH,6515,610
Ohio,Youngstown,6628,531
Ohio,Zanesville,4941,702
Oklahoma,Altus,3164,2563
Oklahoma,Bartlesville,4266,1654
Oklahoma,Clinton OK,4175,2023
Oklahoma,Enid,4466,2034
Oklahoma,Fort Sill,3421,2392
Oklahoma,Gage,4103,2013
Oklahoma,Hobart,3600,2377
Oklahoma,Lawton,3055,1979
Oklahoma,McAlester,3081,2086
Oklahoma,Oklahoma City,3556,2038
Oklahoma,Ponca City,3887,2437
Oklahoma,Stillwater,3799,2185
Oklahoma,Tulsa,3844,2066
Oregon,Astoria,4933,48
Oregon,Aurora OR,4277,327
Oregon,Baker City,7142,231
Oregon,Burns,7201,230
Oregon,Corvallus,4257,405
Oregon,Eugene,4803,295
Oregon,Klamath Falls,6765,185
Oregon,La Grande,6152,329
Oregon,Lakeview,7091,199
Oregon,Medford,4530,602
Oregon,North Bend,4525,0
Oregon,Pendleton,5204,585
Oregon,Portland OR,4187,367
Oregon,Redmond,6583,204
Oregon,Roseburg,3798,405
Oregon,Salem,4583,275
Oregon,Sexton Summit,5657,362
Pennsylvania ,Allentown,5651,773
Pennsylvania ,Altoona,5917,595
Pennsylvania ,Bradford,8204,204
Pennsylvania ,Butler,6575,481
Pennsylvania ,DuBois,6942,386
Pennsylvania ,Erie,6460,579
Pennsylvania ,Franklin PA,6830,327
Pennsylvania ,Harrisburg,5409,927
Pennsylvania ,Johnstown,6516,482
Pennsylvania ,Lancaster PA,4955,877
Pennsylvania ,Middletown,6105,1123
Pennsylvania ,Philadelphia,4824,1184
Pennsylvania ,Pittsburgh,5925,726
Pennsylvania ,Reading,5067,900
Pennsylvania ,Scranton,5216,608
Pennsylvania ,University Park,6188,585
Pennsylvania ,Washington PA,5727,528
Pennsylvania ,Williamsport,5761,759
Rhode Island,New Shoreham,5221,435
Rhode Island,Pawtucket,6466,504
Rhode Island,Providence,5870,735
South Carolina,Anderson,3436,1037
South Carolina,Beaufort,2096,2158
South Carolina,Charleston SC,2051,2302
South Carolina,Columbia SC,2593,2020
South Carolina,Florence,2316,2202
South Carolina,Greenville SC,3652,1409
South Carolina,Greer,3244,1553
South Carolina,Myrtle Beach,2379,1870
South Carolina,North Myrtle Beach,2470,1727
South Carolina,Sumter,3072,1706
South Dakota,Aberdeen SD,7968,657
South Dakota,Brookings,7926,449
South Dakota,Huron,8196,638
South Dakota,Mitchell,7879,909
South Dakota,Mobridge,8474,735
South Dakota,Pierre,7079,818
South Dakota,Rapid City,7203,675
South Dakota,Sioux Falls,7680,680
South Dakota,Watertown SD,8803,422
South Dakota,Yankton,7058,996
Tennessee ,Blountville,4439,971
Tennessee ,Chattanooga,3224,1657
Tennessee ,Crossville,3976,933
Tennessee ,Dyersburg,3723,1896
Tennessee ,Jackson TN,3339,1404
Tennessee ,Knoxville TN,3959,1482
Tennessee ,Memphis,2999,2134
Tennessee ,Nashville,3737,1751
Texas,Abilene,2968,2302
Texas,Alice,912,4033
Texas,Amarillo,4130,1412
Texas,Austin TX,1269,2884
Texas,Brownsville,750,3867
Texas,Childress,3258,2007
Texas,College Station,1646,2670
Texas,Corpus Christi,934,3313
Texas,Cotulla,918,3848
Texas,Dalhart,5029,1041
Texas,Dallas,2333,2678
Texas,Del Rio,1340,3187
Texas,El Paso,2499,2171
Texas,Galveston,1096,3116
Texas,Georgetown,2070,2683
Texas,Greenville TX,2717,2445
Texas,Harlingen,518,3816
Texas,Hondo,1694,2825
Texas,Houston,1439,2974
Texas,Killeen,2087,2721
Texas,Kingsville,895,3419
Texas,Laredo,1164,4080
Texas,Longview,2131,2437
Texas,Lubbock,3436,1699
Texas,Lufkin,1823,2479
Texas,Marfa,3117,1044
Texas,McAllen,729,3903
Texas,McGregor,2334,2614
Texas,Midland,2482,2057
Texas,Mineral wells,2363,2495
Texas,Nacogdockes,2305,2313
Texas,Palacios,1346,3024
Texas,Paris,3100,2057
Texas,Port Arthur,1422,2904
Texas,Rockport,691,3576
Texas,San Angelo,2485,2259
Texas,San Antonio,1548,2992
Texas,Temple,2260,2717
Texas,Tyler,2339,2363
Texas,Victoria,1309,3042
Texas,Waco,2251,2699
Texas,Wichita Falls,2838,2350
Texas,Wink,2423,2932
Utah,Blanding,5535,1171
Utah,Bryce Canyon City,8955,33
Utah,Cedar City,5776,747
Utah,Delta,6021,799
Utah,Hanksville,5354,1445
Utah,Moab,5106,1301
Utah,Ogden,5831,1092
Utah,Provo,5836,858
Utah,Saint George,2729,2936
Utah,Salt Lake City,5350,1118
Utah,Vernal,6661,525
Utah,Wendover,5970,1221
Vermont,Burlington VT,7491,420
Vermont,Montpelier,7662,249
Vermont,Rutland,7563,485
Vermont,Springfield VT,7264,281
Virginia,Abingdon,4953,1011
Virginia,Blacksburg,5081,754
Virginia,Charlottesville,3697,1122
Virginia,Danville,3707,1678
Virginia,Farmville,4084,1323
Virginia,Franklin VA,3096,1557
Virginia,Fredericksburg,4531,1420
Virginia,Hampton,4195,1437
Virginia,Hillsville,5459,604
Virginia,Hot Springs VA,6585,254
Virginia,Leesburg,5242,1189
Virginia,Lynchburg,4239,1305
Virginia,Manassas,5160,935
Virginia,Marion VA,4817,744
Virginia,Martinsville,4496,1133
Virginia,Melfa,3857,1387
Virginia,Newport News,3436,1705
Virginia,Norfolk VA,3411,1630
Virginia,Petersburg VA,3557,1400
Virginia,Pulaski,3336,1539
Virginia,Quantico,4109,1232
Virginia,Richmond,3883,1493
Virginia,Roanoke,4246,1552
Virginia,Virginia Beach,3336,1539
Virginia,Washington DC,4921,1113
Virginia,Weyers Cave,4878,1102
Virginia,Winchester,5193,1196
Virginia,Wise,4910,747
Washington,Aberdeen WA,5240,21
Washington,Bellingham,5768,24
Washington,Bremerton,5533,112
Washington,Ephrata,5578,882
Washington,Everett,5097,69
Washington,Forks,5682,19
Washington,Hanford,5669,1007
Washington,Hoquiam,5240,21
Washington,Kelso,4682,115
Washington,Moses Lake,5431,641
Washington,Olympia,5331,118
Washington,Pasco,4921,711
Washington,Port Angeles,5945,13
Washington,Pullman,6483,234
Washington,Renton,4378,216
Washington,Seattle,4372,169
Washington,Spokane,6716,341
Washington,Stampede Pass,8898,81
Washington,Tacoma,5664,142
Washington,The Dalles,4501,879
Washington,Toledo WA,5853,82
Washington,Walla Walla,4836,839
Washington,Wenatchee,5748,867
Washington,Whidbey Island ,5510,0
Washington,Yakima,6041,430
West Virginia,Beckley,5361,631
West Virginia,Bluefield,4451,597
West Virginia,Bridgeport,5137,855
West Virginia,Charleston WV,4708,1015
West Virginia,Elkins,6050,368
West Virginia,Huntington,4642,1077
West Virginia,Lewisburg,6270,432
West Virginia,Martinsburg,4345,761
West Virginia,Morgantown,5020,669
West Virginia,Parkersburg,4979,1101
West Virginia,Wheeling,5793,639
Wisconsin,Antigo,8664,440
Wisconsin,Appleton,7022,517
Wisconsin,Eau Claire,8475,600
